"sequence","lotation_code","lotation_type_code","lotation_type_description","calculation_base","incidence_indicator","remuneration_base","fgts_to_deposit","fgts_notification","rubric_nature"
"14","E00263-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","22 - FGTS 13° salário rescisório","1 - Normal (incidência de FGTS)","162.30","12.98","-","-"
"15","E00235-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","294051.63","23523.98","-","-"
"15","E00235-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","21 - FGTS mês da rescisão","1 - Normal (incidência de FGTS)","248.85","19.90","-","-"
"15","E00235-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","23 - FGTS aviso prévio indenizado","1 - Normal (incidência de FGTS)","870.91","69.67","-","-"
"15","E00235-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","12 - FGTS 13° salário","1 - Normal (incidência de FGTS)","124.42","9.95","-","-"
"16","E02019-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","332687.85","26614.33","-","-"
"17","E00242-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","1577527.29","126199.90","-","-"
"17","E00242-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","21 - FGTS mês da rescisão","1 - Normal (incidência de FGTS)","2047.42","163.79","-","-"
"17","E00242-001-02A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","22 - FGTS 13° salário rescisório","1 - Normal (incidência de FGTS)","204.74","16.37","-","-"
"18","E00482-001-01A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","21 - FGTS mês da rescisão","1 - Normal (incidência de FGTS)","77240.30","6178.98","-","-"
"18","E00482-001-01A","04","Pessoa Jurídica tomadora de serviços prestados mediante cessão de mão de obra, exceto contratante de cooperativa, nos termos da Lei 8.212/1991","11 - FGTS mensal","1 - Normal (incidência de FGTS)","5418.56","433.47","-","-"
